03.MMHAP34FRA.seq	DNA segment, 03.MMHAP34FRA.seq
Gm6032	predicted gene 6032
Gm6034	predicted gene 6034
Gm6035	predicted gene 6035
Gm6038	predicted pseudogene 6038
Gm6039	predicted gene 6039
Gm6040	predicted gene 6040
Gm6042	predicted gene 6042
Gm6043	predicted gene 6043
Gm6044	predicted gene 6044
Gm6045	predicted gene 6045
Gm6046	predicted gene 6046
Gm6047	predicted gene 6047
Gm6048	predicted gene 6048
Gm6049	predicted gene 6049
Gm6050	predicted gene 6050
Gm6051	predicted gene 6051
Gm6052	predicted gene 6052
Gm6053	predicted gene 6053
Gm6054	predicted gene 6054
Gm6055	predicted gene 6055
Gm6056	predicted gene 6056
Gm6057	predicted gene 6057
Gm6058	predicted gene 6058
Gm6059	predicted gene 6059
Gm6060	predicted gene 6060
Gm6061	predicted gene 6061
Gm6062	predicted gene 6062
Gm6063	predicted gene 6063
Gm6064	predicted gene 6064
Gm6065	predicted gene 6065
Gm6066	predicted gene 6066
Gm6067	predicted gene 6067
Gm6068	predicted gene 6068
Gm6069	predicted gene 6069
Gm6070	predicted gene 6070
Gm6071	predicted gene 6071
Gm6072	predicted gene 6072
Gm6073	predicted gene 6073
Gm6074	predicted gene 6074
Gm6075	predicted gene 6075
Gm6076	predicted gene 6076
Gm6077	predicted gene 6077
Gm6078	predicted gene 6078
Gm6079	predicted gene 6079
Gm6080	predicted gene 6080
Gm6081	predicted gene 6081
Gm6082	predicted gene 6082
Gm6083	predicted gene 6083
Gm6085	predicted gene 6085
Gm6087	predicted gene 6087
Gm6088	predicted gene 6088
Gm6089	predicted gene 6089
Gm609	predicted gene 609
Gm6091	predicted pseudogene 6091
Gm6092	predicted gene 6092
Gm6093	predicted gene 6093
Gm6096	predicted gene 6096
Gm6098	predicted gene 6098
Gm6100	predicted gene 6100
Gm6101	predicted gene 6101
Gm6104	predicted gene 6104
Gm6105	predicted gene 6105
Gm6108	predicted gene 6108
Gm6109	predicted gene 6109
Gm6112	predicted gene 6112
Gm6113	predicted gene 6113
Gm6114	predicted gene 6114
Gm6116	predicted gene 6116
Gm6117	predicted gene 6117
Gm6119	predicted gene 6119
Gm6121	predicted gene 6121
Gm6122	predicted gene 6122
Gm6123	predicted gene 6123
Gm6124	predicted gene 6124
Gm6125	predicted gene 6125
Gm6128	predicted pseudogene 6128
Gm6129	predicted gene 6129
Gm6132	predicted pseudogene 6132
Gm6133	predicted gene 6133
Gm6134	predicted pseudogene 6134
Gm6135	prediticted gene 6135
Gm6136	predicted pseudogene 6136
Gm6137	predicted gene 6137
Gm6139	predicted gene 6139
Gm614	predicted gene 614
Gm6140	predicted gene 6140
Gm6141	predicted pseudogene 6141
Gm6142	predicted pseudogene 6142
Gm6145	predicted gene 6145
Gm6146	predicted gene 6146
Gm6147	predicted gene 6147
Gm6149	predicted gene 6149
Gm6150	predicted gene 6150
Gm6152	predicted gene 6152
Gm6153	predicted gene 6153
Gm6155	predicted pseudogene 6155
Gm6157	predicted gene 6157
Gm6158	predicted gene 6158
Gm6159	predicted gene 6159
Gm6161	predicted gene 6161
Gm6162	predicted gene 6162
Gm6164	predicted gene 6164
Gm6166	predicted gene 6166
Gm6167	predicted gene 6167
Gm6169	predicted gene 6169
Gm6170	predicted gene 6170
Gm6171	predicted gene 6171
Gm6172	predicted gene 6172
Gm6173	predicted gene 6173
Gm6174	predicted gene 6174
Gm6175	predicted gene 6175
Gm6176	predicted gene 6176
Gm6177	predicted gene 6177
Gm6180	predicted pseudogene 6180
Gm6181	predicted pseudogene 6181
Gm6184	predicted gene 6184
Gm6185	predicted gene 6185
Gm6187	predicted gene 6187
Gm6189	predicted gene 6189
Gm6190	predicted gene 6190
Gm6192	predicted gene 6192
Gm6194	predicted gene 6194
Gm6195	predicted pseudogene 6195
Gm6197	predicted gene 6197
Gm6198	predicted gene 6198
Gm6200	predicted gene 6200
Gm6201	predicted gene 6201
Gm6203	predicted gene 6203
Gm6204	predicted gene 6204
Gm6205	predicted gene 6205
Gm6206	predicted pseudogene 6206
Gm6207	predicted gene 6207
Gm6209	predicted gene 6209
Gm6210	predicted gene 6210
Gm6211	predicted gene 6211
Gm6212	predicted gene 6212
Gm6213	predicted gene 6213
Gm6214	predicted gene 6214
Gm6215	predicted pseudogene 6215
Gm6216	predicted gene 6216
Gm6217	predicted gene 6217
Gm6218	predicted gene 6218
Gm6221	predicted pseudogene 6221
Gm6222	predicted pseudogene 6222
Gm6223	predicted gene 6223
Gm6225	predicted gene 6225
Gm6226	predicted gene 6226
Gm6227	predicted gene 6227
Gm6228	predicted gene 6228
Gm6230	predicted gene 6230
Gm6235	predicted gene 6235
Gm6236	predicted gene 6236
Gm6238	predicted pseudogene 6238
Gm6240	predicted gene 6240
Gm6242	predicted gene 6242
Gm6244	predicted gene 6244
Gm6245	predicted gene 6245
Gm6247	predicted gene 6247
Gm6248	predicted gene 6248
Gm6249	predicted gene 6249
Gm6252	predicted gene 6252
Gm6254	predicted gene 6254
Gm6257	predicted gene 6257
Gm6260	predicted gene 6260
Gm6261	predicted gene 6261
Gm6263	predicted gene 6263
Gm6264	predicted gene 6264
Gm6265	predicted pseudogene 6265
Gm6266	predicted gene 6266
Gm6268	predicted gene 6268
Gm6270	predicted gene 6270
Gm6272	predicted pseudogene 6272
Gm6274	predicted gene 6274
Gm6275	predicted gene 6275
Gm6276	predicted pseudogene 6276
Gm6277	predicted gene 6277
Gm6278	predicted gene 6278
Gm6283	predicted gene 6283
Gm6284	predicted gene 6284
Gm6285	predicted gene 6285
Gm6286	predicted gene 6286
Gm6287	predicted gene 6287
Gm6288	predicted gene 6288
Gm6290	predicted gene 6290
Gm6291	predicted gene 6291
Gm6292	predicted gene 6292
Gm6293	predicted pseudogene 6293
Gm6296	predicted gene 6296
Gm6297	predicted gene 6297
Gm6298	predicted gene 6298
Gm6300	predicted gene 6300
Gm6303	predicted gene 6303
Gm6304	predicted gene 6304
Gm6305	predicted gene 6305
Gm6306	predicted gene 6306
Gm6308	predicted gene 6308
Gm6309	predicted gene 6309
Gm6311	predicted gene 6311
Gm6312	predicted gene 6312
Gm6313	predicted gene 6313
Gm6314	predicted pseudogene 6314
Gm6316	predicted pseudogene 6316
Gm6317	predicted gene 6317
Gm6321	predicted gene 6321
Gm6322	predicted gene 6322
Gm6325	predicted gene 6325
Gm6327	predicted gene 6327
Gm6328	predicted gene 6328
Gm6329	predicted gene 6329
Gm6330	predicted gene 6330
Gm6331	predicted gene 6331
Gm6332	predicted gene 6332
Gm6333	predicted gene 6333
Gm6334	predicted gene 6334
Gm6335	predicted gene 6335
Gm6336	predicted pseudogene 6336
Gm6337	predicted gene 6337
Gm6340	predicted pseudogene 6340
Gm6341	predicted pseudogene 6341
Gm6342	predicted gene 6342
Gm6343	predicted gene 6343
Gm6344	predicted gene 6344
Gm6345	predicted gene 6345
Gm6346	predicted gene 6346
Gm6348	predicted gene 6348
Gm6350	predicted gene 6350
Gm6351	predicted gene 6351
Gm6352	predicted gene 6352
Gm6353	predicted gene 6353
Gm6354	predicted gene 6354
Gm6356	predicted gene 6356
Gm6358	predicted gene 6358
Gm6360	predicted gene 6360
Gm6361	predicted gene 6361
Gm6362	predicted gene 6362
Gm6363	predicted gene 6363
Gm6365	predicted pseudogene 6365
Gm6366	predicted gene 6366
Gm6367	predicted gene 6367
Gm6368	predicted gene 6368
Gm6369	predicted gene 6369
Gm6370	predicted gene 6370
Gm6373	predicted gene 6373
Gm6374	predicted gene 6374
Gm6375	predicted gene 6375
Gm6376	predicted gene 6376
Gm6377	predicted gene 6377
Gm6378	predicted pseudogene 6378
Gm6382	predicted gene 6382
Gm6386	predicted gene 6386
Gm6390	predicted gene 6390
Gm6392	predicted gene 6392
Gm6394	predicted gene 6394
Gm6395	predicted gene 6395
Gm6397	predicted gene 6397
Gm6399	predicted gene 6399
Gm6401	predicted gene 6401
Gm6402	predicted pseudogene 6402
Gm6403	predicted gene 6403
Gm6407	predicted gene 6407
Gm6408	predicted gene 6408
Gm6409	predicted gene 6409
Gm6410	predicted gene 6410
Gm6411	predicted gene 6411
Gm6415	predicted pseudogene 6415
Gm6416	predicted gene 6416
Gm6418	predicted gene 6418
Gm6419	predicted gene 6419
Gm6420	predicted gene 6420
Gm6421	predicted pseudogene 6421
Gm6423	predicted gene 6423
Gm6425	predicted pseudogene 6425
Gm6426	predicted gene 6426
Gm6427	predicted gene 6427
Gm6428	predicted pseudogene 6428
Gm6429	predicted gene 6429
Gm6430	predicted gene 6430
Gm6433	predicted gene 6433
Gm6434	predicted gene 6434
Gm6436	predicted gene 6436
Gm6437	predicted gene 6437
Gm6438	predicted gene 6438
Gm6439	predicted gene 6439
Gm6440	predicted gene 6440
Gm6441	predicted gene 6441
Gm6443	predicted gene 6443
Gm6444	predicted gene 6444
Gm6445	predicted gene 6445
Gm6446	predicted gene 6446
Gm6447	predicted gene 6447
Gm6450	predicted gene 6450
Gm6451	predicted gene 6451
Gm6452	predicted gene 6452
Gm6455	predicted gene 6455
Gm6457	predicted pseudogene 6457
Gm6458	predicted gene 6458
Gm6460	predicted gene 6460
Gm6461	predicted gene 6461
Gm6462	predicted gene 6462
Gm6463	predicted gene 6463
Gm6464	predicted gene 6464
Gm6465	predicted gene 6465
Gm6467	predicted gene 6467
Gm6468	predicted gene 6468
Gm6470	predicted gene 6470
Gm6471	predicted gene 6471
Gm6472	predicted pseudogene 6472
Gm6473	predicted gene 6473
Gm6474	predicted gene 6474
Gm6475	predicted gene 6475
Gm6476	predicted gene 6476
Gm6477	predicted gene 6477
Gm6478	predicted pseudogene 6478
Gm6479	predicted gene 6479
Gm648	predicted gene 648
Gm6480	predicted pseudogene 6480
Gm6482	predicted gene 6482
Gm6483	predicted gene 6483
Gm6485	predicted gene 6485
Gm6486	predicted gene 6486
Gm6488	predicted gene 6488
Gm6489	predicted gene 6489
Gm649	predicted gene 649
Gm6490	predicted gene 6490
Gm6491	predicted gene 6491
Gm6492	predicted gene 6492
Gm6493	predicted gene 6493
Gm6494	predicted gene 6494
Gm6496	predicted gene 6496
Gm6497	predicted gene 6497
Gm6498	predicted gene 6498
Gm6499	predicted gene 6499
Gm650	predicted pseudogene 650
Gm6500	predicted gene 6500
Gm6501	predicted gene 6501
Gm6502	predicted gene 6502
Gm6503	predicted gene 6503
Gm6505	predicted pseudogene 6505
Gm6506	predicted gene 6506
Gm6507	predicted gene 6507
Gm6509	predicted gene 6509
Gm6510	predicted gene 6510
Gm6512	predicted gene 6512
Gm6517	predicted gene 6517
Gm6518	predicted gene 6518
Gm6520	predicted gene 6520
Gm6521	predicted gene 6521
Gm6522	predicted gene 6522
Gm6523	predicted gene 6523
Gm6524	predicted gene 6524
Gm6525	predicted pseudogene 6525
Gm6526	predicted gene 6526
Gm6532	predicted pseudogene 6532
Gm6533	predicted gene 6533
Gm6536	predicted gene 6536
Gm6538	predicted gene 6538
Gm6540	predicted gene 6540
Gm6541	predicted gene 6541
Gm6542	predicted gene 6542
Gm6543	predicted gene 6543
Gm6545	predicted gene 6545
Gm6546	predicted gene 6546
Gm6548	predicted gene 6548
Gm6550	predicted gene 6550
Gm6551	predicted gene 6551
Gm6552	predicted gene 6552
Gm6553	predicted gene 6553
Gm6554	predicted gene 6554
Gm6555	predicted gene 6555
Gm6556	predicted gene 6556
Gm6557	predicted gene 6557
Gm6558	predicted gene 6558
Gm6559	predicted gene 6559
Gm6560	predicted gene 6560
Gm6562	predicted gene 6562
Gm6563	predicted pseudogene 6563
Gm6564	predicted pseudogene 6564
Gm6565	predicted gene 6565
Gm6566	predicted gene 6566
Gm6567	predicted gene 6567
Gm6568	predicted pseudogene 6568
Gm6569	predicted gene 6569
Gm6570	predicted gene 6570
Gm6574	predicted gene 6574
Gm6575	predicted gene 6575
Gm6576	predicted gene 6576
Gm6578	predicted gene 6578
Gm6579	predicted gene 6579
Gm6580	predicted gene 6580
Gm6581	predicted gene 6581
Gm6583	predicted gene 6583
Gm6584	predicted gene 6584
Gm6586	predicted gene 6586
Gm6587	predicted gene 6587
Gm6588	predicted gene 6588
Gm6590	predicted gene 6590
Gm6591	predicted gene 6591
Gm6592	predicted gene 6592
Gm6593	predicted gene 6593
Gm6594	predicted pseudogene 6594
Gm6598	predicted gene 6598
Gm6599	predicted gene 6599
Gm6600	predicted gene 6600
Gm6602	predicted gene 6602
Gm6605	predicted gene 6605
Gm6606	predicted gene 6606
Gm6607	predicted gene 6607
Gm6608	predicted gene 6608
Gm6610	predicted gene 6610
Gm6611	predicted gene 6611
Gm6612	predicted gene 6612
Gm6613	predicted gene 6613
Gm6614	predicted gene 6614
Gm6615	predicted gene 6615
Gm6616	predicted gene 6616
Gm6618	predicted gene 6618
Gm6619	predicted gene 6619
Gm6620	predicted gene 6620
Gm6621	predicted gene 6621
Gm6622	predicted gene 6622
Gm6623	predicted gene 6623
Gm6625	predicted gene 6625
Gm6626	predicted gene 6626
Gm6627	predicted gene 6627
Gm6630	predicted pseudogene 6630
Gm6631	predicted gene 6631
Gm6632	predicted pseudogene 6632
Gm6633	predicted gene 6633
Gm6634	predicted gene 6634
Gm6637	predicted gene 6637
Gm6638	predicted gene 6638
Gm6639	predicted gene 6639
Gm6640	predicted gene 6640
Gm6641	predicted gene 6641
Gm6642	predicted gene 6642
Gm6643	predicted gene 6643
Gm6644	predicted gene 6644
Gm6645	predicted gene 6645
Gm6647	predicted gene 6647
Gm6649	predicted gene 6649
Gm6650	predicted gene 6650
Gm6651	predicted gene 6651
Gm6652	predicted gene 6652
Gm6653	predicted gene 6653
Gm6654	predicted pseudogene 6654
Gm6655	predicted gene 6655
Gm6657	predicted gene 6657
Gm6658	predicted gene 6658
Gm6659	predicted gene 6659
Gm6660	predicted gene 6660
Gm6663	predicted gene 6663
Gm6664	predicted gene 6664
Gm6665	predicted gene 6665
Gm6667	predicted gene 6667
Gm6668	predicted gene 6668
Gm6669	predicted pseudogene 6669
Gm6673	predicted gene 6673
Gm6676	predicted gene 6676
Gm6677	predicted gene 6677
Gm6679	predicted gene 6679
Gm6680	predicted gene 6680
Gm6681	predicted gene 6681
Gm6682	predicted gene 6682
Gm6684	predicted pseudogene 6684
Gm6685	predicted pseudogene 6685
Gm6686	predicted pseudogene 6686
Gm6687	predicted gene 6687
Gm6689	predicted gene 6689
Gm6693	predicted gene 6693
Gm6695	predicted gene 6695
Gm6702	predicted gene 6702
Gm6704	predicted gene 6704
Gm6705	predicted gene 6705
Gm6706	predicted gene 6706
Gm671	predicted gene 671
Gm6710	predicted gene 6710
Gm6711	predicted gene 6711
Gm6712	predicted gene 6712
Gm6713	predicted gene 6713
Gm6714	predicted gene 6714
Gm6717	predicted gene 6717
Gm6719	predicted gene 6719
Gm6721	predicted gene 6721
Gm6722	predicted gene 6722
Gm6723	predicted pseudogene 6723
Gm6724	predicted gene 6724
Gm6726	predicted gene 6726
Gm6727	predicted gene 6727
Gm6728	predicted gene 6728
Gm6729	predicted gene 6729
Gm6730	predicted gene 6730
Gm6731	predicted gene 6731
Gm6732	predicted gene 6732
Gm6733	predicted gene 6733
Gm6734	predicted gene 6734
Gm6736	predicted gene 6736
Gm6740	predicted gene 6740
Gm6741	predicted gene 6741
Gm6743	predicted pseudogene 6743
Gm6744	predicted gene 6744
Gm6745	predicted gene 6745
Gm6746	predicted pseudogene 6746
Gm6749	predicted pseudogene 6749
Gm6750	predicted gene 6750
Gm6751	predicted gene 6751
Gm6754	predicted pseudogene 6754
Gm6755	predicted gene 6755
Gm6756	predicted gene 6756
Gm6757	predicted gene 6757
Gm6758	predicted gene 6758
Gm6759	predicted gene 6759
Gm6760	predicted gene 6760
Gm6762	predicted pseudogene 6762
Gm6763	predicted gene 6763
Gm6764	predicted gene 6764
Gm6765	predicted gene 6765
Gm6767	predicted gene 6767
Gm6768	predicted gene 6768
Gm6771	predicted gene 6771
Gm6773	predicted gene 6773
Gm6776	predicted pseudogene 6776
Gm6781	predicted gene 6781
Gm6783	predicted gene 6783
Gm6785	predicted gene 6785
Gm6786	predicted gene 6786
Gm6787	predicted gene 6787
Gm6788	predicted gene 6788
Gm6789	predicted gene 6789
Gm6793	predicted gene 6793
Gm6794	predicted gene 6794
Gm6796	predicted pseudogene 6796
Gm6797	predicted pseudogene 6797
Gm6798	predicted gene 6798
Gm6799	predicted gene 6799
Gm6801	predicted gene 6801
Gm6802	predicted gene 6802
Gm6803	predicted gene 6803
Gm6806	predicted gene 6806
Gm6807	predicted gene 6807
Gm6808	predicted gene 6808
Gm6809	predicted gene 6809
Gm6811	predicted gene 6811
Gm6812	predicted gene 6812
Gm6813	predicted gene 6813
Gm6815	predicted gene 6815
Gm6818	predicted gene 6818
Gm6819	predicted gene 6819
Gm6820	predicted gene 6820
Gm6821	predicted gene 6821
Gm6822	predicted pseudogene 6822
Gm6823	predicted gene 6823
Gm6825	predicted gene 6825
Gm6828	predicted gene 6828
Gm6829	predicted pseudogene 6829
Gm6831	predicted gene 6831
Gm6833	predicted gene 6833
Gm6838	predicted gene 6838
Gm6841	predicted gene 6841
Gm6842	predicted gene 6842
Gm6847	predicted gene 6847
Gm6850	predicted gene 6850
Gm6851	predicted pseudogene 6851
Gm6852	predicted gene 6852
Gm6853	predicted gene 6853
Gm6855	predicted gene 6855
Gm6858	predicted gene 6858
Gm6859	predicted gene 6859
Gm6860	predicted gene 6860
Gm6863	predicted gene 6863
Gm6866	predicted gene 6866
Gm6867	predicted gene 6867
Gm6869	predicted gene 6869
Gm6870	predicted gene 6870
Gm6871	predicted gene 6871
Gm6872	predicted gene 6872
Gm6877	predicted pseudogene 6877
Gm6878	predicted gene 6878
Gm6880	predicted gene 6880
Gm6881	predicted gene 6881
Gm6882	predicted gene 6882
Gm6883	predicted gene 6883
Gm6884	predicted gene 6884
Gm6885	predicted gene 6885
Gm6887	predicted gene 6887
Gm6888	predicted gene 6888
Gm6890	predicted gene 6890
Gm6893	predicted gene 6893
Gm6897	predicted pseudogene 6897
Gm6899	predicted gene 6899
Gm6900	predicted gene 6900
Gm6902	predicted gene 6902
Gm6903	predicted gene 6903
Gm6904	predicted gene 6904
Gm6905	predicted gene 6905
Gm6906	predicted gene 6906
Gm6909	predicted gene 6909
Gm6912	predicted gene 6912
Gm6913	predicted gene 6913
Gm6914	predicted gene 6914
Gm6916	predicted pseudogene 6916
Gm6918	predicted gene 6918
Gm6919	predicted gene 6919
Gm6921	predicted pseudogene 6921
Gm6923	predicted pseudogene 6923
Gm6929	predicted gene 6929
Gm6931	predicted gene 6931
Gm6934	predicted gene 6934
Gm6936	predicted gene 6936
Gm6937	predicted pseudogene 6937
Gm6938	predicted gene 6938
Gm6939	predicted gene 6939
Gm6942	predicted gene 6942
Gm6943	predicted gene 6943
Gm6944	predicted gene 6944
Gm6946	predicted gene 6946
Gm6947	predicted gene 6947
Gm6949	predicted gene 6949
Gm6951	predicted gene 6951
Gm6952	predicted gene 6952
Gm6954	predicted pseudogene 6954
Gm6956	predicted gene 6956
Gm6958	predicted gene 6958
Gm6960	predicted pseudogene 6960
Gm6961	predicted gene 6961
Gm6963	predicted gene 6963
Gm6964	predicted gene 6964
Gm6967	predicted gene 6967
Gm6969	predicted pseudogene 6969
Gm6970	predicted gene 6970
Gm6973	predicted gene 6973
Gm6974	predicted gene 6974
Gm6975	predicted gene 6975
Gm6977	predicted gene 6977
Gm6978	predicted gene 6978
Gm6979	predicted gene 6979
Gm6980	predicted gene 6980
Gm6981	predicted pseudogene 6981
Gm6982	predicted gene 6982
Gm6983	predicted gene 6983
Gm6985	predicted pseudogene 6985
Gm6986	predicted gene 6986
Gm6987	predicted pseudogene 6987
Gm6988	predicted gene 6988
Gm6989	predicted gene 6989
Gm6991	predicted gene 6991
Gm6992	predicted gene 6992
Gm6993	predicted gene 6993
Gm6994	predicted gene 6994
Gm6995	predicted gene 6995
Gm6997	predicted gene 6997
Gm6999	predicted gene 6999
Gm7001	predicted gene 7001
Gm7002	predicted gene 7002
Gm7003	predicted gene 7003
Gm7004	predicted gene 7004
Gm7008	predicted gene 7008
Gm7019	predicted pseudogene 7019
Gm7020	predicted gene 7020
Gm7022	predicted gene 7022
Gm7023	predicted gene 7023
Gm7025	predicted gene 7025
Gm7027	predicted gene 7027
Gm7028	predicted gene 7028
Gm7029	predicted gene 7029
Gm7030	predicted gene 7030
Gm7031	predicted gene 7031
Gm7033	predicted gene 7033
Gm7034	predicted gene 7034
Gm7039	predicted gene 7039
Gm7040	predicted gene 7040
Gm7041	predicted gene 7041
Gm7042	predicted gene 7042
Gm7043	predicted gene 7043
Gm7045	predicted gene 7045
Gm7046	predicted gene 7046
Gm7047	predicted gene 7047
Gm7048	predicted gene 7048
Gm7049	predicted gene 7049
Gm7052	predicted gene 7052
Gm7054	predicted gene 7054
Gm7056	predicted gene 7056
Gm7058	predicted gene 7058
Gm7059	predicted gene 7059
Gm7061	predicted gene 7061
Gm7063	predicted gene 7063
Gm7064	predicted gene 7064
Gm7065	predicted gene 7065
Gm7067	predicted gene 7067
Gm7069	predicted gene 7069
Gm7071	predicted gene 7071
Gm7072	predicted gene 7072
Gm7073	predicted gene 7073
Gm7074	predicted gene 7074
Gm7075	predicted gene 7075
Gm7076	predicted pseudogene 7076
Gm7079	predicted pseudogene 7079
Gm7081	predicted gene 7081
Gm7082	predicted gene 7082
Gm7083	predicted gene 7083
Gm7084	predicted gene 7084
Gm7085	predicted gene 7085
Gm7086	predicted pseudogene 7086
Gm7089	predicted gene 7089
Gm7091	predicted gene 7091
Gm7093	predicted gene 7093
Gm7094	predicted pseudogene 7094
Gm7096	predicted gene 7096
Gm7097	predicted gene 7097
Gm7099	predicted gene 7099
Gm7102	predicted gene 7102
Gm7103	predicted gene 7103
Gm7104	predicted gene 7104
Gm7105	predicted gene 7105
Gm7106	predicted gene 7106
Gm7107	predicted gene 7107
Gm7108	predicted gene 7108
Gm7113	predicted gene 7113
Gm7114	predicted gene 7114
Gm7115	predicted gene 7115
Gm7117	predicted pseudogene 7117
Gm7118	predicted gene 7118
Gm7119	predicted gene 7119
Gm7122	predicted pseudogene 7122
Gm7123	predicted pseudogene 7123
Gm7125	predicted pseudogene 7125
Gm7126	predicted gene 7126
Gm7128	predicted gene 7128
Gm7129	predicted gene 7129
Gm7132	predicted gene 7132
Gm7133	predicted gene 7133
Gm7134	predicted gene 7134
Gm7135	predicted gene 7135
Gm7137	predicted gene 7137
Gm7138	predicted gene 7138
Gm7140	predicted gene 7140
Gm7142	predicted gene 7142
Gm7143	predicted gene 7143
Gm7145	predicted gene 7145
Gm7146	predicted pseudogene 7146
Gm715	predicted gene 715
Gm7150	predicted gene 7150
Gm7151	predicted gene 7151
Gm7152	predicted gene 7152
Gm7153	predicted gene 7153
Gm7155	predicted gene 7155
Gm7156	predicted gene 7156
Gm7158	predicted gene 7158
Gm7159	predicted gene 7159
Gm7160	predicted gene 7160
Gm7162	predicted gene 7162
Gm7164	predicted gene 7164
Gm7166	predicted gene 7166
Gm7167	predicted gene 7167
Gm7168	predicted gene 7168
Gm7171	predicted gene 7171
Gm7172	predicted gene 7172
Gm7173	predicted gene 7173
Gm7177	predicted gene 7177
Gm7180	predicted pseudogene 7180
Gm7181	predicted gene 7181
Gm7182	predicted gene 7182
Gm7183	predicted gene 7183
Gm7189	predicted pseudogene 7189
Gm7190	predicted gene 7190
Gm7191	predicted gene 7191
Gm7192	predicted gene 7192
Gm7194	predicted gene 7194
Gm7195	predicted gene 7195
Gm7198	predicted gene 7198
Gm7199	predicted gene 7199
Gm7200	predicted gene 7200
Gm7201	predicted gene 7201
Gm7203	predicted gene 7203
Gm7204	predicted pseudogene 7204
Gm7205	predicted gene 7205
Gm7206	predicted pseudogene 7206
Gm7207	predicted gene 7207
Gm7208	predicted gene 7208
Gm7209	predicted pseudogene 7209
Gm7210	predicted gene 7210
Gm7211	predicted gene 7211
Gm7212	predicted gene 7212
Gm7213	predicted gene 7213
Gm7214	predicted gene 7214
Gm7217	predicted gene 7217
Gm7219	predicted pseudogene 7219
Gm7222	predicted gene 7222
Gm7224	predicted gene 7224
Gm7226	predicted gene 7226
Gm7229	predicted gene 7229
Gm7230	predicted gene 7230
Gm7232	predicted gene 7232
Gm7233	predicted gene 7233
Gm7236	predicted gene 7236
Gm7237	predicted gene 7237
Gm7238	predicted gene 7238
Gm7239	predicted gene 7239
Gm7240	predicted gene 7240
Gm7241	predicted pseudogene 7241
Gm7242	predicted gene 7242
Gm7244	predicted gene 7244
Gm7247	predicted gene 7247
Gm7248	predicted gene 7248
Gm725	predicted gene 725
Gm7251	predicted pseudogene 7251
Gm7252	predicted gene 7252
Gm7253	predicted gene 7253
Gm7255	predicted gene 7255
Gm7256	predicted gene 7256
Gm7257	predicted gene 7257
Gm7258	predicted gene 7258
Gm7259	predicted gene 7259
Gm7260	predicted gene 7260
Gm7265	predicted gene 7265
Gm7266	predicted gene 7266
Gm7269	predicted gene 7269
Gm7270	predicted gene 7270
Gm7271	predicted gene 7271
Gm7272	predicted gene 7272
Gm7273	predicted gene 7273
Gm7274	predicted gene 7274
Gm7275	predicted gene 7275
Gm7276	predicted gene 7276
Gm7278	predicted gene 7278
Gm7280	predicted gene 7280
Gm7281	predicted gene 7281
Gm7283	predicted gene 7283
Gm7284	predicted gene 7284
Gm7285	predicted gene 7285
Gm7286	predicted gene 7286
Gm7287	predicted gene 7287
Gm7289	predicted gene 7289
Gm7290	predicted pseudogene 7290
Gm7291	predicted gene 7291
Gm7292	predicted gene 7292
Gm7293	predicted gene 7293
Gm7295	predicted gene 7295
Gm7298	predicted gene 7298
Gm7299	predicted gene 7299
Gm7307	predicted gene 7307
Gm7308	predicted pseudogene 7308
Gm7309	predicted gene 7309
Gm7312	predicted gene 7312
Gm7313	predicted gene 7313
Gm7316	predicted gene 7316
Gm7318	predicted gene 7318
Gm7319	predicted gene 7319
Gm732	predicted gene 732
Gm7324	predicted gene 7324
Gm7326	predicted gene 7326
Gm7327	predicted gene 7327
Gm7328	predicted gene 7328
Gm7329	predicted gene 7329
Gm7331	predicted gene 7331
Gm7332	predicted gene 7332
Gm7333	predicted gene 7333
Gm7334	predicted gene 7334
Gm7335	predicted gene 7335
Gm7336	predicted gene 7336
Gm7337	predicted gene 7337
Gm7338	predicted gene 7338
Gm7340	predicted gene 7340
Gm7341	predicted gene 7341
Gm7343	predicted gene 7343
Gm7344	predicted gene 7344
Gm7346	predicted gene 7346
Gm7347	predicted gene 7347
Gm7350	predicted gene 7350
Gm7351	predicted gene 7351
Gm7352	predicted gene 7352
Gm7353	predicted pseudogene 7353
Gm7356	predicted gene 7356
Gm7357	predicted gene 7357
Gm7358	predicted gene 7358
Gm7361	predicted gene 7361
Gm7363	predicted gene 7363
Gm7364	predicted gene 7364
Gm7365	predicted gene 7365
Gm7366	predicted gene 7366
Gm7367	predicted pseudogene 7367
Gm7368	predicted gene 7368
Gm7369	predicted gene 7369
Gm7370	predicted gene 7370
Gm7371	predicted gene 7371
Gm7375	predicted pseudogene 7375
Gm7378	predicted gene 7378
Gm7380	predicted gene 7380
Gm7381	predicted gene 7381
Gm7382	predicted gene 7382
Gm7384	predicted gene 7384
Gm7385	predicted gene 7385
Gm7386	predicted pseudogene 7386
Gm7389	predicted gene 7389
Gm7390	predicted gene 7390
Gm7391	predicted pseudogene 7391
Gm7392	predicted gene 7392
Gm7393	predicted gene 7393
Gm7394	predicted gene 7394
Gm7395	predicted gene 7395
Gm7397	predicted gene 7397
Gm7398	predicted gene 7398
Gm7399	predicted gene 7399
Gm7400	predicted gene 7400
Gm7405	predicted gene 7405
Gm7406	predicted gene 7406
Gm7407	predicted gene 7407
Gm7408	predicted pseudogene 7408
Gm7411	predicted gene 7411
Gm7412	predicted gene 7412
Gm7413	predicted gene 7413
Gm7415	predicted pseudogene 7415
